Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3803, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3806, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3857, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 4087, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 2:8d:cb:84:9b:ff, mac 3: 2:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3806, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3808, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3158, mac 1: ff:ff:ff:ff:ff:ff, mac 2: e:8d:cb:84:9b:ff, mac 3: e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3813, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3864, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3870, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3819, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3820, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3822, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3873, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3822, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3169, mac 1: ff:ff:ff:ff:ff:ff, mac 2: e:8d:cb:84:9b:ff, mac 3: e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3824, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3875, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 265, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 2:8d:cb:84:9b:ff, mac 3: 2:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3824, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3170, mac 1: ff:ff:ff:ff:ff:ff, mac 2: e:8d:cb:84:9b:ff, mac 3: e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3825, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3876, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 266, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 2:8d:cb:84:9b:ff, mac 3: 2:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3825, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3826, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3172, mac 1: ff:ff:ff:ff:ff:ff, mac 2: e:8d:cb:84:9b:ff, mac 3: e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3827, mac 1: ff:ff:ff:ff:ff:ff, mac 2: a:8d:cb:84:9b:ff, mac 3: a:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3878, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 268, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 2:8d:cb:84:9b:ff, mac 3: 2:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3827, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3173, mac 1: ff:ff:ff:ff:ff:ff, mac 2: e:8d:cb:84:9b:ff, mac 3: e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3879, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 6:8d:cb:84:9b:ff, mac 3: 6:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 269, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 2:8d:cb:84:9b:ff, mac 3: 2:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3828, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
Duration: 00 00, Frame Control: 00 80, Subtype: Beacon, seq nr: 3829, mac 1: ff:ff:ff:ff:ff:ff, mac 2: 1e:8d:cb:84:9b:ff, mac 3: 1e:8d:cb:84:9b:ff
