duration,frame,subtype,ssid,seq_nr,mac_address_1,mac_address_2,mac_address_3,frequency,occurrence
00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:fe:fd:b1,XX:XX:XX:XX:XX:XX,2.462000,15
00 00,00 94,Block ACK,N/A,CTL,1c:e6:c7:d:d:b0,b8:d7:af:5:ea:7a,XX:XX:XX:XX:XX:XX,2.437000,15
00 00,00 94,Block ACK,N/A,CTL,9c:e3:3f:5:49:c9,1c:e6:c7:3e:73:c0,XX:XX:XX:XX:XX:XX,2.412000,13
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:9e:71:71,c:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,11
00 00,00 94,Block ACK,N/A,CTL,b8:d7:af:5:ea:7a,1c:e6:c7:d:d:b0,XX:XX:XX:XX:XX:XX,2.437000,9
00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:b4:4e:2c,XX:XX:XX:XX:XX:XX,2.462000,9
00 00,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:9b:4c:10,XX:XX:XX:XX:XX:XX,2.462000,8
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:d8:cb:82,a:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,7
00 3c,08 50,Probe Response,UNKNOWN,4094,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,4
00 3c,08 50,Probe Response,UNKNOWN,106,e:8d:fb:84:9b:ff,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,4
00 3c,08 50,Probe Response,UNKNOWN,52,94:65:9c:79:1b:66,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,3
00 3c,08 50,Probe Response,UNKNOWN,4052,b8:27:eb:b4:4e:2c,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,3
00 3c,08 50,Probe Response,UNKNOWN,1,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,3
00 3c,08 50,Probe Response,UNKNOWN,18,b8:27:eb:9e:71:71,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,3
00 18,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:9b:4c:10,XX:XX:XX:XX:XX:XX,2.462000,3
00 0c,00 94,Block ACK,N/A,CTL,a:8d:db:17:f8:19,b8:27:eb:fe:fd:b1,XX:XX:XX:XX:XX:XX,2.462000,3
00 00,00 94,Block ACK,N/A,CTL,b8:27:eb:fe:fd:b1,a:8d:db:17:f8:19,XX:XX:XX:XX:XX:XX,2.462000,3
00 3c,08 50,Probe Response,UNKNOWN,6,b8:27:eb:fe:fd:b1,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,2
00 3c,08 50,Probe Response,UNKNOWN,4,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,2
00 3c,08 50,Probe Response,UNKNOWN,4095,b8:27:eb:9b:4c:10,ba:86:87:6e:ad:f1,ba:86:87:6e:ad:f1,2.437000,2
